Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Transformer.TRAFO_1, 37946.64, 577009.5, 19190.27, 483227.6, 18756.37, 93781.83
Line.INICIO, 37.46536, -205.3963, 37.46536, -205.3963, 0, 0
Transformer.34E0508_TR1, 0.002779103, 555.7997, 0.002779103, 0.09264563, 1.598721E-014, 555.707
Transformer.91E5092_TR1, 0.001702324, 340.453, 0.001702324, 0.05674974, 0, 340.3963
Transformer.91E5688_TR1, 0.0025618, 512.341, 0.0025618, 0.08540156, 1.776357E-015, 512.2556
Transformer.80E1234_TR1, 0.001718818, 343.752, 0.001718818, 0.05729964, 0, 343.6947
Transformer.34E0585_M_1, 0.003688551, 737.6862, 0.003688551, 0.1229641, 1.776357E-015, 737.5632
Transformer.27E1076_TR1, 0.001707273, 341.4443, 0.001707273, 0.05691497, 1.776357E-015, 341.3873
Transformer.42E1200_TR1, 0.002568194, 513.6193, 0.002568194, 0.08561464, -1.421085E-014, 513.5337
Transformer.88L2072_TR1, 0.0051013, 1020.224, 0.0051013, 0.17006, -2.4869E-014, 1020.054
Transformer.61E1143_TR1, 0.002563394, 512.6606, 0.002563394, 0.08545484, -1.421085E-014, 512.5752
Transformer.91E4735_M_1, 0.001700623, 340.1132, 0.001700623, 0.0566931, 0, 340.0565
Transformer.91E4939_M_1, 0.003402907, 680.5589, 0.003402907, 0.1134416, 1.421085E-014, 680.4455
Transformer.91E4939_TR1, 0.001020881, 204.1677, 0.001020881, 0.03403248, -3.552714E-015, 204.1337
Transformer.94S2338_TR1, 0.003399996, 679.9751, 0.003399996, 0.1133443, 1.065814E-014, 679.8617
Transformer.90E1011_TR1, 0.002537338, 507.448, 0.002537338, 0.08458596, -1.24345E-014, 507.3635
Transformer.90E0848_TR1, 0.00338372, 676.7213, 0.00338372, 0.1128019, -1.421085E-014, 676.6085
Transformer.71L1039_M_1, 0.006806673, 1361.294, 0.006806673, 0.2269126, 2.842171E-014, 1361.067
Transformer.41L1000_M_1, 0.01132675, 2265.27, 0.01132675, 0.3775953, 9.947598E-014, 2264.892
Transformer.90E1382_TR1, 0.0009998054, 199.9527, 0.0009998054, 0.03332989, 8.881784E-016, 199.9194
Transformer.21E1800_TR1, 0.001007411, 201.4741, 0.001007411, 0.0335835, 8.881784E-016, 201.4406
Transformer.90E1021_M_1, 0.002536584, 507.2985, 0.002536584, 0.08456103, -1.598721E-014, 507.2139
Transformer.97E0238_TR1, 0.000996395, 199.27, 0.000996395, 0.03321609, 0, 199.2367
Transformer.30E1035_TR1, 0.0009961319, 199.2173, 0.0009961319, 0.03320732, -3.552714E-015, 199.1841
Transformer.30E1070_M_1, 0.001660189, 332.0254, 0.001660189, 0.05534494, -1.421085E-014, 331.97
Transformer.90E2031_TR1, 0.003275028, 654.9855, 0.003275028, 0.1091788, 0, 654.8764
Transformer.28E0339_TR1, 0.001645583, 329.1058, 0.001645583, 0.05485827, -1.776357E-015, 329.0509
Transformer.28E0065_TR1, 0.003291345, 658.246, 0.003291345, 0.1097223, -3.552714E-015, 658.1363
Transformer.18E0096_TR1, 0.002501485, 500.2802, 0.002501485, 0.08339116, -1.421085E-014, 500.1968
Transformer.30E1713_TR1, 0.0009960119, 199.1939, 0.0009960119, 0.03320341, 0, 199.1607
Transformer.02E4914_TR1, 0.003257738, 651.5267, 0.003257738, 0.1086023, -1.065814E-014, 651.4181
Transformer.02E4792_TR1, 0.001624993, 324.9864, 0.001624993, 0.05417163, 7.105427E-015, 324.9323
Transformer.71E1021_TR1, 0.0006488151, 129.76, 0.0006488151, 0.02162955, -3.552714E-015, 129.7384
Transformer.90E2616_TR1, 0.0006510846, 130.2141, 0.0006510846, 0.02170525, 3.552714E-015, 130.1924
Transformer.90E3019_TR1, 0.0009743837, 194.8691, 0.0009743837, 0.03248251, 0, 194.8366
Transformer.90E3475_TR1, 0.001619154, 323.8202, 0.001619154, 0.05397723, 0, 323.7662
Transformer.90E3942_M_1, 0.006451526, 1290.259, 0.006451526, 0.2150718, -2.842171E-014, 1290.044
Transformer.90E4120_M_1, 0.001611502, 322.2907, 0.001611502, 0.05372229, 0, 322.237
Transformer.02E3554_TR1, 0.003174776, 634.9346, 0.003174776, 0.1058365, 0, 634.8288
Transformer.02E3976_TR1, 0.00159929, 319.8481, 0.00159929, 0.05331512, 0, 319.7948
Transformer.02E4181_TR1, 0.0009632173, 192.6354, 0.0009632173, 0.03211018, 0, 192.6033
Transformer.02E4345_TR1, 0.001610321, 322.0537, 0.001610321, 0.05368278, 0, 322.0001
Transformer.12L1200_TR1, 0.001609332, 321.8541, 0.001609332, 0.05364951, 7.105427E-015, 321.8005
Transformer.90E4431_M_1, 0.001608653, 321.7197, 0.001608653, 0.0536271, 0, 321.6661
Transformer.02E4262_M_1, 0.001607745, 321.539, 0.001607745, 0.05359698, 1.421085E-014, 321.4854
Transformer.02E3585_M_1, 0.001588374, 317.6643, 0.001588374, 0.05295111, 1.421085E-014, 317.6113
Transformer.02E3281_TR1, 0.0009480747, 189.6071, 0.0009480747, 0.03160539, 0, 189.5755
Transformer.83E1122_M_1, 0.001589002, 317.7892, 0.001589002, 0.05297193, 7.105427E-015, 317.7362
Transformer.87L1201_TR1, 0.0009546649, 190.925, 0.0009546649, 0.03182508, 2.664535E-015, 190.8932
Transformer.49L1070_TR1, 0.001590905, 318.1712, 0.001590905, 0.05303561, -7.105427E-015, 318.1182
Transformer.02E3869_M_1, 0.001596609, 319.3103, 0.001596609, 0.05322547, 0, 319.2571
Transformer.02E4204_M_1, 0.002419796, 483.9429, 0.002419796, 0.0806679, -3.552714E-015, 483.8622
Transformer.90E4832_TR1, 0.001605913, 321.1717, 0.001605913, 0.05353576, -7.105427E-015, 321.1182
Transformer.57E0980_TR1, 0.0003208979, 64.17806, 0.0003208979, 0.01069777, 8.881784E-016, 64.16736
Transformer.04L1127_M_1, 0.001608965, 321.7827, 0.001608965, 0.05363761, -7.105427E-015, 321.7291
Transformer.32E1043_TR1, 0.002431126, 486.2049, 0.002431126, 0.08104495, 1.065814E-014, 486.1238
Transformer.32E1597_TR1, 0.003222695, 644.5198, 0.003222695, 0.1074343, 2.842171E-014, 644.4123
Transformer.32E1726_TR1, 0.0006443648, 128.8697, 0.0006443648, 0.02148116, 8.881784E-016, 128.8483
Transformer.61E2134_TR1, 0.0015515, 310.2881, 0.0015515, 0.05172158, 1.776357E-015, 310.2364
Transformer.93E0066_TR1, 0.001560556, 312.0985, 0.001560556, 0.05202335, 0, 312.0465
Transformer.61E2872_TR1, 0.001569136, 313.8178, 0.001569136, 0.05230994, 0, 313.7655
Transformer.02E3107_TR1, 0.0009452428, 189.0406, 0.0009452428, 0.03151096, 3.552714E-015, 189.0091
Transformer.15E0937_TR1, 0.0009490847, 189.8092, 0.0009490847, 0.03163909, 8.881784E-016, 189.7776
Transformer.50E1041_TR1, 0.001583811, 316.751, 0.001583811, 0.05279887, 7.105427E-015, 316.6982
Transformer.99E0315_M_1, 0.01438036, 2875.938, 0.01438036, 0.4793868, 0, 2875.458
Transformer.99E0258_TR1, 0.0006400542, 128.0083, 0.0006400542, 0.02133756, 1.776357E-015, 127.987
Transformer.90E5064_M_1, 0.002417445, 483.473, 0.002417445, 0.08058958, 0, 483.3924
Transformer.98L1178_TR1, 0.004834429, 966.8472, 0.004834429, 0.1611627, -1.421085E-014, 966.686
Transformer.32E1991_TR1, 0.000966248, 193.2408, 0.000966248, 0.0322111, 3.552714E-015, 193.2086
Transformer.61E1841_TR1, 0.0009267134, 185.3355, 0.0009267134, 0.03089338, -8.881784E-016, 185.3046
Transformer.80L2099_TR1, 0.003090757, 618.1295, 0.003090757, 0.1030353, 0, 618.0264
Transformer.64E1626_TR1, 0.001550013, 309.9932, 0.001550013, 0.05167243, -8.881784E-015, 309.9416
Transformer.92E1301_TR1, 0.000939571, 187.907, 0.000939571, 0.031322, 3.552714E-015, 187.8757
Transformer.92E1343_TR1, 0.002359211, 471.8233, 0.002359211, 0.0786477, 3.552714E-015, 471.7446
Transformer.89L2325_TR1, 0.00156546, 313.0817, 0.00156546, 0.05218724, 0, 313.0295
Transformer.64E2403_TR1, 0.0003131172, 62.62202, 0.0003131172, 0.0104384, 8.881784E-016, 62.61158
Transformer.60E0367_TR1, 0.0006285588, 125.7085, 0.0006285588, 0.02095421, 3.552714E-015, 125.6876
Transformer.40E1169_TR1, 0.00155549, 311.0888, 0.00155549, 0.05185504, -1.421085E-014, 311.0369
Transformer.64E0305_TR1, 0.0009333376, 186.6603, 0.0009333376, 0.0311142, -8.881784E-016, 186.6292
Transformer.64E0575_TR1, 0.002343338, 468.6477, 0.002343338, 0.07811837, -3.552714E-015, 468.5696
Transformer.99E0272_M_1, 0.001599889, 319.9665, 0.001599889, 0.05333486, -7.105427E-015, 319.9131
Transformer.99E0295_M_1, 0.006398895, 1279.734, 0.006398895, 0.2133174, 0, 1279.52
Transformer.99E0310_M_1, 0.004798417, 959.6407, 0.004798417, 0.1599614, 2.842171E-014, 959.4807
Transformer.51L3125_TR1, 0.0009662168, 193.2357, 0.0009662168, 0.03221024, -4.440892E-015, 193.2034
Transformer.96E1208_TR1, 0.0009661126, 193.214, 0.0009661126, 0.03220663, -3.552714E-015, 193.1818
Transformer.96E0877_TR1, 0.0009661076, 193.2131, 0.0009661076, 0.03220647, -8.881784E-016, 193.1809
Transformer.24E1155_M_1, 0.001566171, 313.2228, 0.001566171, 0.05221076, 0, 313.1706
Transformer.28E2347_TR1, 0.000643829, 128.763, 0.000643829, 0.02146336, -3.552714E-015, 128.7416
Transformer.33E1707_TR1, 0.001609568, 321.9045, 0.001609568, 0.05365791, 0, 321.8508
Transformer.91L2332_TR1, 0.000321888, 64.37573, 0.000321888, 0.01073072, 0, 64.365
Transformer.91L2703_TR1, 0.001609239, 321.8358, 0.001609239, 0.05364646, 0, 321.7822
Transformer.46E1040_TR1, 0.0009659616, 193.1848, 0.0009659616, 0.03220175, -4.440892E-015, 193.1525
Transformer.65L1133_TR1, 0.001610161, 322.0206, 0.001610161, 0.05367725, 7.105427E-015, 321.9669
Transformer.22E2801_TR1, 0.00153453, 306.8967, 0.00153453, 0.05115627, -8.881784E-015, 306.8455
Transformer.22E2658_TR1, 0.002312801, 462.5442, 0.002312801, 0.07710098, 7.105427E-015, 462.4671
Transformer.22E3027_TR1, 0.002311451, 462.273, 0.002311451, 0.07705577, -3.552714E-015, 462.1959
Transformer.22E2299_TR1, 0.001537666, 307.5229, 0.001537666, 0.05126066, 0, 307.4717
Transformer.19L2076_TR1, 0.001536341, 307.2583, 0.001536341, 0.05121655, 7.105427E-015, 307.2071
Transformer.22E2153_TR1, 0.00153902, 307.7943, 0.00153902, 0.0513059, 7.105427E-015, 307.743
Transformer.35E2158_TR1, 0.00154094, 308.1758, 0.00154094, 0.05136948, -7.105427E-015, 308.1244
Transformer.36L1030_TR1, 0.000965521, 193.0955, 0.000965521, 0.03218688, 0, 193.0633
Transformer.17L1115_TR1, 0.000965544, 193.101, 0.000965544, 0.03218779, 0, 193.0688
Transformer.91L2615_M_1, 0.001609263, 321.8408, 0.001609263, 0.05364729, 7.105427E-015, 321.7872
Transformer.91L2659_M_1, 0.002424607, 484.903, 0.002424607, 0.08082794, -7.105427E-015, 484.8222
Transformer.91L2753_M_1, 0.002424573, 484.8992, 0.002424573, 0.08082732, 0, 484.8184
Transformer.61E1262_TR1, 0.00153504, 306.9969, 0.00153504, 0.05117297, 0, 306.9457
Transformer.61E1433_TR1, 0.001537386, 307.4656, 0.001537386, 0.0512511, 7.105427E-015, 307.4144
Transformer.61E1592_TR1, 0.002319769, 463.9363, 0.002319769, 0.07733302, -3.552714E-015, 463.8589
Transformer.92L1125_TR1, 0.002317943, 463.5732, 0.002317943, 0.0772725, 0, 463.4959
Transformer.55E0739_TR1, 0.000920479, 184.088, 0.000920479, 0.03068543, -3.552714E-015, 184.0573
Transformer.34L0960_TR1, 0.0006136684, 122.7298, 0.0006136684, 0.0204577, 0, 122.7094
Transformer.55L0247_TR1, 0.001534034, 306.7963, 0.001534034, 0.05113953, 0, 306.7451
Transformer.51L0239_TR1, 0.001535179, 307.0238, 0.001535179, 0.05117746, 0, 306.9726
Transformer.94L1247_TR1, 0.003071475, 614.2725, 0.003071475, 0.1023924, 0, 614.1701
Transformer.94L1083_TR1, 0.002314323, 462.8476, 0.002314323, 0.07715156, -3.552714E-015, 462.7704
Transformer.84L1083_TR1, 0.000924121, 184.8161, 0.000924121, 0.03080679, 0, 184.7853
Transformer.36E2960_TR1, 0.001540746, 308.1383, 0.001540746, 0.05136323, -7.105427E-015, 308.0869
Transformer.40L0971_TR1, 0.00154041, 308.0703, 0.00154041, 0.05135189, 1.776357E-015, 308.0189
Transformer.61E0386_TR1, 0.002301007, 460.1854, 0.002301007, 0.07670779, -7.105427E-015, 460.1087
Transformer.61E0609_TR1, 0.003055313, 611.0443, 0.003055313, 0.1018543, 0, 610.9425
Transformer.88E1200_TR1, 0.001527171, 305.4235, 0.001527171, 0.0509107, 0, 305.3726
Transformer.30L1090_TR1, 0.002304028, 460.79, 0.002304028, 0.07680858, -7.105427E-015, 460.7132
Transformer.50L1124_TR1, 0.002303938, 460.7723, 0.002303938, 0.07680563, 7.105427E-015, 460.6955
Transformer.32L1118_TR1, 0.001530761, 306.1419, 0.001530761, 0.05103045, 7.105427E-015, 306.0908
Transformer.23E1193_TR1, 0.002303382, 460.6622, 0.002303382, 0.07678727, 1.065814E-014, 460.5854
Transformer.23E1231_TR1, 0.001528762, 305.7404, 0.001528762, 0.05096352, 0, 305.6894
Transformer.52E2040_TR1, 0.001533241, 306.6372, 0.001533241, 0.05111301, 0, 306.5861
Transformer.26E2714_TR1, 0.001528567, 305.7023, 0.001528567, 0.05095718, 8.881784E-015, 305.6513
Transformer.61E1445_M_1, 0.001537541, 307.4972, 0.001537541, 0.05125636, 0, 307.4459
Transformer.35L1084_M_1, 0.00231153, 462.2892, 0.00231153, 0.07705847, -1.421085E-014, 462.2122
Transformer.51L0211_M_1, 0.001535179, 307.0244, 0.001535179, 0.05117756, -7.105427E-015, 306.9732
Transformer.94L1084_TR1, 0.00154058, 308.1055, 0.00154058, 0.05135776, -7.105427E-015, 308.0541
Transformer.55E1808_TR1, 0.0006120789, 122.4129, 0.0006120789, 0.02040487, 0, 122.3925
Transformer.61E1084_M_1, 0.02299062, 4597.997, 0.02299062, 0.7664351, 1.136868E-013, 4597.231
Transformer.93E0675_TR1, 0.002303764, 460.7369, 0.002303764, 0.07679973, -7.105427E-015, 460.6601
Transformer.93E0565_TR1, 0.001529028, 305.7951, 0.001529028, 0.05097265, 0, 305.7442
Transformer.98E1580_TR1, 0.002289958, 457.9746, 0.002289958, 0.07633928, 0, 457.8983
Transformer.98E1318_TR1, 0.004568628, 913.6905, 0.004568628, 0.1523021, 0, 913.5382
Transformer.36L1310_TR1, 0.003035595, 607.0982, 0.003035595, 0.1011965, 0, 606.9971
Transformer.93E0896_M_1, 0.001529113, 305.8127, 0.001529113, 0.05097558, -7.105427E-015, 305.7617
Transformer.55E1989_M_1, 0.001530218, 306.0322, 0.001530218, 0.05101217, 0, 305.9812
Transformer.83L1034_M_1, 0.001517798, 303.549, 0.001517798, 0.05059824, 0, 303.4984
Transformer.36L1428_M_1, 0.001518073, 303.6038, 0.001518073, 0.05060737, 0, 303.5532
Transformer.06E1605_TR1, 0.003047211, 609.4236, 0.003047211, 0.1015841, 1.421085E-014, 609.322
Transformer.36L1488_M_1, 0.001518427, 303.6749, 0.001518427, 0.05061923, 0, 303.6243
Transformer.50E0188_TR1, 0.001518731, 303.736, 0.001518731, 0.05062942, 7.105427E-015, 303.6854
Transformer.87E0416_TR1, 0.001519302, 303.8509, 0.001519302, 0.05064856, -7.105427E-015, 303.8002
Transformer.98E1042_M_1, 0.002300614, 460.1068, 0.002300614, 0.0766947, 0, 460.0301
Transformer.32E3228_M_1, 0.001518712, 303.7328, 0.001518712, 0.05062889, 8.881784E-015, 303.6822
Transformer.78L0804_M_1, 0.001518458, 303.6823, 0.001518458, 0.05062048, 0, 303.6317
Line.D_AGF01I2|D_AG3, 1337.379, 2417.907, 1337.379, 2417.907, 0, 0
Line.D_AG1|D_AG3, 4430.073, 8009.338, 4430.073, 8009.338, 0, 0
Line.AGF01I2|D_AGF01I2, 1086.62, 1964.547, 1086.62, 1964.547, 0, 0
Line.D_AG1|SG92E2724, 1337.382, 2417.92, 1337.382, 2417.92, 0, 0
Line.D_FH94E0506|D_F34E04, 1499.818, 2711.38, 1499.818, 2711.38, 0, 0
Line.D_SF34E0409|D_F34E04, 6078.217, 10988.27, 6078.217, 10988.27, 0, 0
Line.EL_115214280, 0.26555, -0.1023923, 0.26555, -0.1023923, 0, 0
Line.D_H94E0383|D_FH94E05, 10281.17, 18588.03, 10281.17, 18588.03, 0, 0
Line.D_H94E0383|D_G92E283, 1003.039, 1813.457, 1003.039, 1813.457, 0, 0
Line.E_-2691602|D_G92E283, 7439.197, 13449.75, 7439.197, 13449.75, 0, 0
Line.SG92E2724|E_-2691602, 752.2774, 1360.082, 752.2774, 1360.082, 0, 0
Line.SF34E0409|E_-2523928, 663.4187, 1274.951, 663.4187, 1274.951, 0, 0
Line.E_-2523928|E_-252393, 6059.236, 11644.63, 6059.236, 11644.63, 0, 0
Line.E_-2523938|E_-252394, 5351.606, 10284.78, 5351.606, 10284.78, 0, 0
Line.E_-2523946|E_-252394, 973.0211, 1869.97, 973.0211, 1869.97, 0, 0
Line.E_-2523948|E_-252396, 3980.547, 7649.912, 3980.547, 7649.912, 0, 0
Line.E_-2523962|E_-252396, 796.1104, 1529.989, 796.1104, 1529.989, 0, 0
Line.E_-2523964|E_-252397, 3980.558, 7649.977, 3980.558, 7649.977, 0, 0
Line.E_-2523970|E_-252397, 3405.596, 6545.024, 3405.596, 6545.024, 0, 0
Line.E_-2523974|E_-252410, 1238.4, 2380.019, 1238.4, 2380.019, 0, 0
Line.EL_237969588, 11985.99, 23035.45, 11985.99, 23035.45, 0, 0
Line.EL_237969642, 5484.392, 10540.37, 5484.392, 10540.37, 0, 0
Line.EL_237969631, 13268.76, 25501.32, 13268.76, 25501.32, 0, 0
Line.EL_237969620, 14374.61, 27627.11, 14374.61, 27627.11, 0, 0
Line.EL_167655460, 14772.8, 28392.9, 14772.8, 28392.9, 0, 0
Line.EL_178356939, 1724.975, 3315.386, 1724.975, 3315.386, 0, 0
Line.EL_237969566, 15082.55, 28988.8, 15082.55, 28988.8, 0, 0
Line.EL_190890814, 2388.451, 4590.672, 2388.451, 4590.672, 0, 0
Line.EL_178356855, 10973.06, 19838.84, 10973.06, 19838.84, 0, 0
Line.EL_190890830, 18393.78, 33255.52, 18393.78, 33255.52, 0, 0
Line.EL_224516413, 21235.87, 38394.46, 21235.87, 38394.46, 0, 0
Line.EL_178356735, 15145.42, 27383.22, 15145.42, 27383.22, 0, 0
Line.EL_224516426, -7.657992E-007, -0.1566178, -7.657992E-007, -0.1566178, 0, 0
Line.34E0508|D_FF34E0585, 6.416342, -14.19791, 6.416342, -14.19791, 0, 0
Line.FH94E0506|34E0508, 1.858746, -0.7167003, 1.858746, -0.7167003, 0, 0
Line.EL_1048193, 0.08790959, -0.1944757, 0.08790959, -0.1944757, 0, 0
